# case	id kind role ordinal parents locator (explicit) or digest (corpus)
polygon_4	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_4	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_4	e2e7fcde9cb8dcbe41f80e8918a6fb8a edge top_edge 0 P0.s3 0 segment 3 end
polygon_4	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_4	effc6946105785ab5e2ccaa7270be668 vertex top_vertex 0 P0.v3 0 vertex 3 end
polygon_4	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_4	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_4	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_4	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_4	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
polygon_4	f4654cdf0aaf5f955e58f989828674de edge vertical 0 P0.v3 0 vertex 3 both
polygon_4	f46cc09416af5f955e58f98bcd5e664f edge vertical 0 P0.v2 0 vertex 2 both
polygon_5	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_5	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_5	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_5	296f5239cc62bed0ba8b2c5760c6fca3 vertex bottom_vertex 0 P0.v3 0 vertex 3 start
polygon_5	2976c5eed862bed0ba8b2c59ab9eee14 vertex bottom_vertex 0 P0.v4 0 vertex 4 start
polygon_5	29b5031acc03c1866d0680f700c54a52 face wall 0 P0.s4 0 segment 4 both
polygon_5	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_5	29cb5e39f003c1866d0680fde14d1ea5 face wall 0 P0.s3 0 segment 3 both
polygon_5	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_5	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_5	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_5	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_5	9290183182ada398e599a736fa57aaaa edge bottom_edge 0 P0.s4 0 segment 4 start
polygon_5	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_5	92a67350a6ada398e599a73ddadf7efd edge bottom_edge 0 P0.s3 0 segment 3 start
polygon_5	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_5	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
polygon_5	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_5	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_5	e2e7fcde9cb8dcbe41f80e8918a6fb8a edge top_edge 0 P0.s3 0 segment 3 end
polygon_5	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_5	e2fe57fdc0b8dcbe41f80e8ff92ecfdd edge top_edge 0 P0.s4 0 segment 4 end
polygon_5	effc6946105785ab5e2ccaa7270be668 vertex top_vertex 0 P0.v3 0 vertex 3 end
polygon_5	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_5	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_5	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_5	f0309339645785ab5e2ccab732f3807f vertex top_vertex 0 P0.v4 0 vertex 4 end
polygon_5	f4400a55ceaf5f955e58f97e0c4ebda9 edge vertical 0 P0.v4 0 vertex 4 both
polygon_5	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_5	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
polygon_5	f4654cdf0aaf5f955e58f989828674de edge vertical 0 P0.v3 0 vertex 3 both
polygon_5	f46cc09416af5f955e58f98bcd5e664f edge vertical 0 P0.v2 0 vertex 2 both
polygon_6	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_6	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_6	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_6	296f5239cc62bed0ba8b2c5760c6fca3 vertex bottom_vertex 0 P0.v3 0 vertex 3 start
polygon_6	2976c5eed862bed0ba8b2c59ab9eee14 vertex bottom_vertex 0 P0.v4 0 vertex 4 start
polygon_6	297e39a3e462bed0ba8b2c5bf676df85 vertex bottom_vertex 0 P0.v5 0 vertex 5 start
polygon_6	29b5031acc03c1866d0680f700c54a52 face wall 0 P0.s4 0 segment 4 both
polygon_6	29bc76cfd803c1866d0680f94b9d3bc3 face wall 0 P0.s5 0 segment 5 both
polygon_6	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_6	29cb5e39f003c1866d0680fde14d1ea5 face wall 0 P0.s3 0 segment 3 both
polygon_6	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_6	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_6	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_6	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_6	9290183182ada398e599a736fa57aaaa edge bottom_edge 0 P0.s4 0 segment 4 start
polygon_6	92978be68eada398e599a739452f9c1b edge bottom_edge 0 P0.s5 0 segment 5 start
polygon_6	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_6	92a67350a6ada398e599a73ddadf7efd edge bottom_edge 0 P0.s3 0 segment 3 start
polygon_6	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_6	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
polygon_6	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_6	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_6	e2e7fcde9cb8dcbe41f80e8918a6fb8a edge top_edge 0 P0.s3 0 segment 3 end
polygon_6	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_6	e2f6e448b4b8dcbe41f80e8dae56de6c edge top_edge 0 P0.s5 0 segment 5 end
polygon_6	e2fe57fdc0b8dcbe41f80e8ff92ecfdd edge top_edge 0 P0.s4 0 segment 4 end
polygon_6	effc6946105785ab5e2ccaa7270be668 vertex top_vertex 0 P0.v3 0 vertex 3 end
polygon_6	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_6	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_6	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_6	f0291f84585785ab5e2ccab4e81b8f0e vertex top_vertex 0 P0.v5 0 vertex 5 end
polygon_6	f0309339645785ab5e2ccab732f3807f vertex top_vertex 0 P0.v4 0 vertex 4 end
polygon_6	f43896a0c2af5f955e58f97bc176cc38 edge vertical 0 P0.v5 0 vertex 5 both
polygon_6	f4400a55ceaf5f955e58f97e0c4ebda9 edge vertical 0 P0.v4 0 vertex 4 both
polygon_6	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_6	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
polygon_6	f4654cdf0aaf5f955e58f989828674de edge vertical 0 P0.v3 0 vertex 3 both
polygon_6	f46cc09416af5f955e58f98bcd5e664f edge vertical 0 P0.v2 0 vertex 2 both
polygon_7	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_7	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_7	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_7	296f5239cc62bed0ba8b2c5760c6fca3 vertex bottom_vertex 0 P0.v3 0 vertex 3 start
polygon_7	2976c5eed862bed0ba8b2c59ab9eee14 vertex bottom_vertex 0 P0.v4 0 vertex 4 start
polygon_7	297e39a3e462bed0ba8b2c5bf676df85 vertex bottom_vertex 0 P0.v5 0 vertex 5 start
polygon_7	2985ad58f062bed0ba8b2c5e414ed0f6 vertex bottom_vertex 0 P0.v6 0 vertex 6 start
polygon_7	29a61bb0b403c1866d0680f26b156770 face wall 0 P0.s6 0 segment 6 both
polygon_7	29b5031acc03c1866d0680f700c54a52 face wall 0 P0.s4 0 segment 4 both
polygon_7	29bc76cfd803c1866d0680f94b9d3bc3 face wall 0 P0.s5 0 segment 5 both
polygon_7	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_7	29cb5e39f003c1866d0680fde14d1ea5 face wall 0 P0.s3 0 segment 3 both
polygon_7	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_7	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_7	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_7	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_7	928130c76aada398e599a73264a7c7c8 edge bottom_edge 0 P0.s6 0 segment 6 start
polygon_7	9290183182ada398e599a736fa57aaaa edge bottom_edge 0 P0.s4 0 segment 4 start
polygon_7	92978be68eada398e599a739452f9c1b edge bottom_edge 0 P0.s5 0 segment 5 start
polygon_7	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_7	92a67350a6ada398e599a73ddadf7efd edge bottom_edge 0 P0.s3 0 segment 3 start
polygon_7	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_7	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
polygon_7	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_7	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_7	e2e7fcde9cb8dcbe41f80e8918a6fb8a edge top_edge 0 P0.s3 0 segment 3 end
polygon_7	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_7	e2f6e448b4b8dcbe41f80e8dae56de6c edge top_edge 0 P0.s5 0 segment 5 end
polygon_7	e2fe57fdc0b8dcbe41f80e8ff92ecfdd edge top_edge 0 P0.s4 0 segment 4 end
polygon_7	e30d3f67d8b8dcbe41f80e948edeb2bf edge top_edge 0 P0.s6 0 segment 6 end
polygon_7	effc6946105785ab5e2ccaa7270be668 vertex top_vertex 0 P0.v3 0 vertex 3 end
polygon_7	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_7	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_7	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_7	f021abcf4c5785ab5e2ccab29d439d9d vertex top_vertex 0 P0.v6 0 vertex 6 end
polygon_7	f0291f84585785ab5e2ccab4e81b8f0e vertex top_vertex 0 P0.v5 0 vertex 5 end
polygon_7	f0309339645785ab5e2ccab732f3807f vertex top_vertex 0 P0.v4 0 vertex 4 end
polygon_7	f43896a0c2af5f955e58f97bc176cc38 edge vertical 0 P0.v5 0 vertex 5 both
polygon_7	f4400a55ceaf5f955e58f97e0c4ebda9 edge vertical 0 P0.v4 0 vertex 4 both
polygon_7	f44ef1bfe6af5f955e58f982a1fea08b edge vertical 0 P0.v6 0 vertex 6 both
polygon_7	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_7	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
polygon_7	f4654cdf0aaf5f955e58f989828674de edge vertical 0 P0.v3 0 vertex 3 both
polygon_7	f46cc09416af5f955e58f98bcd5e664f edge vertical 0 P0.v2 0 vertex 2 both
polygon_8	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_8	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_8	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_8	296f5239cc62bed0ba8b2c5760c6fca3 vertex bottom_vertex 0 P0.v3 0 vertex 3 start
polygon_8	2976c5eed862bed0ba8b2c59ab9eee14 vertex bottom_vertex 0 P0.v4 0 vertex 4 start
polygon_8	297e39a3e462bed0ba8b2c5bf676df85 vertex bottom_vertex 0 P0.v5 0 vertex 5 start
polygon_8	2985ad58f062bed0ba8b2c5e414ed0f6 vertex bottom_vertex 0 P0.v6 0 vertex 6 start
polygon_8	298d210dfc62bed0ba8b2c608c26c267 vertex bottom_vertex 0 P0.v7 0 vertex 7 start
polygon_8	29a61bb0b403c1866d0680f26b156770 face wall 0 P0.s6 0 segment 6 both
polygon_8	29ad8f65c003c1866d0680f4b5ed58e1 face wall 0 P0.s7 0 segment 7 both
polygon_8	29b5031acc03c1866d0680f700c54a52 face wall 0 P0.s4 0 segment 4 both
polygon_8	29bc76cfd803c1866d0680f94b9d3bc3 face wall 0 P0.s5 0 segment 5 both
polygon_8	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_8	29cb5e39f003c1866d0680fde14d1ea5 face wall 0 P0.s3 0 segment 3 both
polygon_8	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_8	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_8	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_8	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_8	928130c76aada398e599a73264a7c7c8 edge bottom_edge 0 P0.s6 0 segment 6 start
polygon_8	9288a47c76ada398e599a734af7fb939 edge bottom_edge 0 P0.s7 0 segment 7 start
polygon_8	9290183182ada398e599a736fa57aaaa edge bottom_edge 0 P0.s4 0 segment 4 start
polygon_8	92978be68eada398e599a739452f9c1b edge bottom_edge 0 P0.s5 0 segment 5 start
polygon_8	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_8	92a67350a6ada398e599a73ddadf7efd edge bottom_edge 0 P0.s3 0 segment 3 start
polygon_8	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_8	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
polygon_8	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_8	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_8	e2e7fcde9cb8dcbe41f80e8918a6fb8a edge top_edge 0 P0.s3 0 segment 3 end
polygon_8	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_8	e2f6e448b4b8dcbe41f80e8dae56de6c edge top_edge 0 P0.s5 0 segment 5 end
polygon_8	e2fe57fdc0b8dcbe41f80e8ff92ecfdd edge top_edge 0 P0.s4 0 segment 4 end
polygon_8	e305cbb2ccb8dcbe41f80e924406c14e edge top_edge 0 P0.s7 0 segment 7 end
polygon_8	e30d3f67d8b8dcbe41f80e948edeb2bf edge top_edge 0 P0.s6 0 segment 6 end
polygon_8	effc6946105785ab5e2ccaa7270be668 vertex top_vertex 0 P0.v3 0 vertex 3 end
polygon_8	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_8	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_8	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_8	f01a381a405785ab5e2ccab0526bac2c vertex top_vertex 0 P0.v7 0 vertex 7 end
polygon_8	f021abcf4c5785ab5e2ccab29d439d9d vertex top_vertex 0 P0.v6 0 vertex 6 end
polygon_8	f0291f84585785ab5e2ccab4e81b8f0e vertex top_vertex 0 P0.v5 0 vertex 5 end
polygon_8	f0309339645785ab5e2ccab732f3807f vertex top_vertex 0 P0.v4 0 vertex 4 end
polygon_8	f43896a0c2af5f955e58f97bc176cc38 edge vertical 0 P0.v5 0 vertex 5 both
polygon_8	f4400a55ceaf5f955e58f97e0c4ebda9 edge vertical 0 P0.v4 0 vertex 4 both
polygon_8	f4477e0adaaf5f955e58f9805726af1a edge vertical 0 P0.v7 0 vertex 7 both
polygon_8	f44ef1bfe6af5f955e58f982a1fea08b edge vertical 0 P0.v6 0 vertex 6 both
polygon_8	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_8	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
polygon_8	f4654cdf0aaf5f955e58f989828674de edge vertical 0 P0.v3 0 vertex 3 both
polygon_8	f46cc09416af5f955e58f98bcd5e664f edge vertical 0 P0.v2 0 vertex 2 both
polygon_9	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_9	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_9	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_9	296f5239cc62bed0ba8b2c5760c6fca3 vertex bottom_vertex 0 P0.v3 0 vertex 3 start
polygon_9	2976c5eed862bed0ba8b2c59ab9eee14 vertex bottom_vertex 0 P0.v4 0 vertex 4 start
polygon_9	297e39a3e462bed0ba8b2c5bf676df85 vertex bottom_vertex 0 P0.v5 0 vertex 5 start
polygon_9	2985ad58f062bed0ba8b2c5e414ed0f6 vertex bottom_vertex 0 P0.v6 0 vertex 6 start
polygon_9	298d210dfc62bed0ba8b2c608c26c267 vertex bottom_vertex 0 P0.v7 0 vertex 7 start
polygon_9	299494c30862bed0ba8b2c62d6feb3d8 vertex bottom_vertex 0 P0.v8 0 vertex 8 start
polygon_9	29a61bb0b403c1866d0680f26b156770 face wall 0 P0.s6 0 segment 6 both
polygon_9	29ad8f65c003c1866d0680f4b5ed58e1 face wall 0 P0.s7 0 segment 7 both
polygon_9	29b5031acc03c1866d0680f700c54a52 face wall 0 P0.s4 0 segment 4 both
polygon_9	29bc76cfd803c1866d0680f94b9d3bc3 face wall 0 P0.s5 0 segment 5 both
polygon_9	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_9	29cb5e39f003c1866d0680fde14d1ea5 face wall 0 P0.s3 0 segment 3 both
polygon_9	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_9	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_9	2a0e6f975c03c1866d06811282e49b9e face wall 0 P0.s8 0 segment 8 both
polygon_9	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_9	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_9	9272495d52ada398e599a72dcef7e4e6 edge bottom_edge 0 P0.s8 0 segment 8 start
polygon_9	928130c76aada398e599a73264a7c7c8 edge bottom_edge 0 P0.s6 0 segment 6 start
polygon_9	9288a47c76ada398e599a734af7fb939 edge bottom_edge 0 P0.s7 0 segment 7 start
polygon_9	9290183182ada398e599a736fa57aaaa edge bottom_edge 0 P0.s4 0 segment 4 start
polygon_9	92978be68eada398e599a739452f9c1b edge bottom_edge 0 P0.s5 0 segment 5 start
polygon_9	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_9	92a67350a6ada398e599a73ddadf7efd edge bottom_edge 0 P0.s3 0 segment 3 start
polygon_9	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_9	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
polygon_9	e2a4eb8130b8dcbe41f80e74770f7e91 edge top_edge 0 P0.s8 0 segment 8 end
polygon_9	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_9	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_9	e2e7fcde9cb8dcbe41f80e8918a6fb8a edge top_edge 0 P0.s3 0 segment 3 end
polygon_9	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_9	e2f6e448b4b8dcbe41f80e8dae56de6c edge top_edge 0 P0.s5 0 segment 5 end
polygon_9	e2fe57fdc0b8dcbe41f80e8ff92ecfdd edge top_edge 0 P0.s4 0 segment 4 end
polygon_9	e305cbb2ccb8dcbe41f80e924406c14e edge top_edge 0 P0.s7 0 segment 7 end
polygon_9	e30d3f67d8b8dcbe41f80e948edeb2bf edge top_edge 0 P0.s6 0 segment 6 end
polygon_9	efd726bcd45785ab5e2cca9bb0d42f33 vertex top_vertex 0 P0.v8 0 vertex 8 end
polygon_9	effc6946105785ab5e2ccaa7270be668 vertex top_vertex 0 P0.v3 0 vertex 3 end
polygon_9	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_9	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_9	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_9	f01a381a405785ab5e2ccab0526bac2c vertex top_vertex 0 P0.v7 0 vertex 7 end
polygon_9	f021abcf4c5785ab5e2ccab29d439d9d vertex top_vertex 0 P0.v6 0 vertex 6 end
polygon_9	f0291f84585785ab5e2ccab4e81b8f0e vertex top_vertex 0 P0.v5 0 vertex 5 end
polygon_9	f0309339645785ab5e2ccab732f3807f vertex top_vertex 0 P0.v4 0 vertex 4 end
polygon_9	f4223b819eaf5f955e58f974e0eef7e5 edge vertical 0 P0.v8 0 vertex 8 both
polygon_9	f43896a0c2af5f955e58f97bc176cc38 edge vertical 0 P0.v5 0 vertex 5 both
polygon_9	f4400a55ceaf5f955e58f97e0c4ebda9 edge vertical 0 P0.v4 0 vertex 4 both
polygon_9	f4477e0adaaf5f955e58f9805726af1a edge vertical 0 P0.v7 0 vertex 7 both
polygon_9	f44ef1bfe6af5f955e58f982a1fea08b edge vertical 0 P0.v6 0 vertex 6 both
polygon_9	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_9	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
