# case	step	relation (explicit) or digest (corpus)
polygon_5	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_5	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_5	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_5	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_5	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_5	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_5	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_5	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_5	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_5	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_5	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_5	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_5	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_5	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_5	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_5	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_5	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_5	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_5	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_5	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_5	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_5	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_5	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_5	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_5	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_5	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_5	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_5	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_6	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_6	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_6	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_6	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_6	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_6	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_6	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_6	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_6	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_6	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_6	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_6	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_6	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_6	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_6	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_6	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_6	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_6	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_6	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_6	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_6	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_6	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_6	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_6	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_6	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_6	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_6	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_6	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_6	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_6	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_6	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_6	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_6	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_6	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_6	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_6	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_6	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_6	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_6	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_7	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_7	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_7	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_7	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_7	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_7	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_7	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_7	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_7	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_7	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_7	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_7	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_7	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_7	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_7	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_7	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_7	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_7	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_7	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_7	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_7	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_7	construct	generated P0.s6 29a61bb0b403c1866d0680f26b156770 wall
polygon_7	construct	generated P0.s6 928130c76aada398e599a73264a7c7c8 bottom_edge
polygon_7	construct	generated P0.s6 e30d3f67d8b8dcbe41f80e948edeb2bf top_edge
polygon_7	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_7	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_7	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_7	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_7	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_7	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_7	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_7	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_7	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_7	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_7	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_7	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_7	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_7	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_7	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_7	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_7	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_7	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_7	construct	generated P0.v6 2985ad58f062bed0ba8b2c5e414ed0f6 bottom_vertex
polygon_7	construct	generated P0.v6 f021abcf4c5785ab5e2ccab29d439d9d top_vertex
polygon_7	construct	generated P0.v6 f44ef1bfe6af5f955e58f982a1fea08b vertical
polygon_8	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_8	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_8	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_8	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_8	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_8	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_8	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_8	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_8	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_8	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_8	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_8	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_8	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_8	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_8	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_8	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_8	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_8	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_8	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_8	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_8	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_8	construct	generated P0.s6 29a61bb0b403c1866d0680f26b156770 wall
polygon_8	construct	generated P0.s6 928130c76aada398e599a73264a7c7c8 bottom_edge
polygon_8	construct	generated P0.s6 e30d3f67d8b8dcbe41f80e948edeb2bf top_edge
polygon_8	construct	generated P0.s7 29ad8f65c003c1866d0680f4b5ed58e1 wall
polygon_8	construct	generated P0.s7 9288a47c76ada398e599a734af7fb939 bottom_edge
polygon_8	construct	generated P0.s7 e305cbb2ccb8dcbe41f80e924406c14e top_edge
polygon_8	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_8	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_8	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_8	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_8	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_8	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_8	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_8	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_8	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_8	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_8	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_8	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_8	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_8	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_8	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_8	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_8	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_8	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_8	construct	generated P0.v6 2985ad58f062bed0ba8b2c5e414ed0f6 bottom_vertex
polygon_8	construct	generated P0.v6 f021abcf4c5785ab5e2ccab29d439d9d top_vertex
polygon_8	construct	generated P0.v6 f44ef1bfe6af5f955e58f982a1fea08b vertical
polygon_8	construct	generated P0.v7 298d210dfc62bed0ba8b2c608c26c267 bottom_vertex
polygon_8	construct	generated P0.v7 f01a381a405785ab5e2ccab0526bac2c top_vertex
polygon_8	construct	generated P0.v7 f4477e0adaaf5f955e58f9805726af1a vertical
polygon_9	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_9	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_9	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_9	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_9	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_9	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_9	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_9	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_9	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_9	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_9	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_9	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_9	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_9	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_9	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_9	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_9	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_9	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_9	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_9	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_9	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_9	construct	generated P0.s6 29a61bb0b403c1866d0680f26b156770 wall
polygon_9	construct	generated P0.s6 928130c76aada398e599a73264a7c7c8 bottom_edge
polygon_9	construct	generated P0.s6 e30d3f67d8b8dcbe41f80e948edeb2bf top_edge
polygon_9	construct	generated P0.s7 29ad8f65c003c1866d0680f4b5ed58e1 wall
polygon_9	construct	generated P0.s7 9288a47c76ada398e599a734af7fb939 bottom_edge
polygon_9	construct	generated P0.s7 e305cbb2ccb8dcbe41f80e924406c14e top_edge
polygon_9	construct	generated P0.s8 2a0e6f975c03c1866d06811282e49b9e wall
polygon_9	construct	generated P0.s8 9272495d52ada398e599a72dcef7e4e6 bottom_edge
polygon_9	construct	generated P0.s8 e2a4eb8130b8dcbe41f80e74770f7e91 top_edge
polygon_9	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_9	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_9	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_9	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_9	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_9	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_9	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_9	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_9	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_9	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_9	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_9	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_9	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_9	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_9	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_9	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_9	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_9	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_9	construct	generated P0.v6 2985ad58f062bed0ba8b2c5e414ed0f6 bottom_vertex
polygon_9	construct	generated P0.v6 f021abcf4c5785ab5e2ccab29d439d9d top_vertex
polygon_9	construct	generated P0.v6 f44ef1bfe6af5f955e58f982a1fea08b vertical
polygon_9	construct	generated P0.v7 298d210dfc62bed0ba8b2c608c26c267 bottom_vertex
polygon_9	construct	generated P0.v7 f01a381a405785ab5e2ccab0526bac2c top_vertex
polygon_9	construct	generated P0.v7 f4477e0adaaf5f955e58f9805726af1a vertical
polygon_9	construct	generated P0.v8 299494c30862bed0ba8b2c62d6feb3d8 bottom_vertex
polygon_9	construct	generated P0.v8 efd726bcd45785ab5e2cca9bb0d42f33 top_vertex
polygon_9	construct	generated P0.v8 f4223b819eaf5f955e58f974e0eef7e5 vertical
polygon_10	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_10	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_10	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_10	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_10	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_10	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_10	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_10	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_10	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_10	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_10	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_10	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_10	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_10	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_10	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_10	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_10	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_10	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_10	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_10	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_10	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_10	construct	generated P0.s6 29a61bb0b403c1866d0680f26b156770 wall
polygon_10	construct	generated P0.s6 928130c76aada398e599a73264a7c7c8 bottom_edge
polygon_10	construct	generated P0.s6 e30d3f67d8b8dcbe41f80e948edeb2bf top_edge
polygon_10	construct	generated P0.s7 29ad8f65c003c1866d0680f4b5ed58e1 wall
polygon_10	construct	generated P0.s7 9288a47c76ada398e599a734af7fb939 bottom_edge
polygon_10	construct	generated P0.s7 e305cbb2ccb8dcbe41f80e924406c14e top_edge
polygon_10	construct	generated P0.s8 2a0e6f975c03c1866d06811282e49b9e wall
polygon_10	construct	generated P0.s8 9272495d52ada398e599a72dcef7e4e6 bottom_edge
polygon_10	construct	generated P0.s8 e2a4eb8130b8dcbe41f80e74770f7e91 top_edge
polygon_10	construct	generated P0.s9 2a15e34c6803c1866d068114cdbc8d0f wall
polygon_10	construct	generated P0.s9 9279bd125eada398e599a73019cfd657 bottom_edge
polygon_10	construct	generated P0.s9 e29d77cc24b8dcbe41f80e722c378d20 top_edge
polygon_10	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_10	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_10	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_10	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_10	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_10	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_10	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_10	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_10	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
